

--- Timestep = 1 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 6.811e-02	 1.590e-01	 2.316e-01	 6.981e-02
       Maxwell	 2.478e-03	 2.978e-03	 3.414e-03	 3.682e-04
    Maxwell_BC	 6.312e-04	 6.796e-04	 7.545e-04	 4.908e-05
   Diagnostics	 1.124e-01	 1.132e-01	 1.145e-01	 8.906e-04
Sync Particles	 7.608e-03	 8.965e-03	 1.033e-02	 9.737e-04
   Sync Fields	 6.092e-03	 1.103e-02	 1.618e-02	 3.597e-03
Sync Densities	 1.416e-02	 4.436e-02	 7.927e-02	 2.857e-02
      Envelope	 5.058e-02	 5.619e-02	 6.607e-02	 5.958e-03
Sync_Susceptibility	 1.496e-02	 4.830e-02	 9.081e-02	 3.287e-02


--- Timestep = 3 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.334e-01	 3.186e-01	 4.601e-01	 1.427e-01
       Maxwell	 4.979e-03	 5.756e-03	 6.660e-03	 7.521e-04
    Maxwell_BC	 1.293e-03	 1.457e-03	 1.602e-03	 1.105e-04
   Diagnostics	 2.204e-01	 2.225e-01	 2.254e-01	 1.920e-03
Sync Particles	 1.715e-02	 2.225e-02	 2.829e-02	 4.578e-03
   Sync Fields	 1.507e-02	 2.428e-02	 3.430e-02	 7.458e-03
Sync Densities	 2.982e-02	 9.135e-02	 1.694e-01	 5.975e-02
      Envelope	 1.062e-01	 1.193e-01	 1.311e-01	 1.073e-02
Sync_Susceptibility	 3.074e-02	 1.022e-01	 1.971e-01	 6.882e-02


--- Timestep = 5 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 2.011e-01	 4.833e-01	 6.959e-01	 2.159e-01
       Maxwell	 7.047e-03	 8.341e-03	 1.025e-02	 1.243e-03
    Maxwell_BC	 2.124e-03	 2.201e-03	 2.288e-03	 6.362e-05
   Diagnostics	 3.271e-01	 3.288e-01	 3.316e-01	 1.731e-03
Sync Particles	 2.582e-02	 3.426e-02	 4.298e-02	 7.398e-03
   Sync Fields	 2.321e-02	 3.462e-02	 4.920e-02	 9.892e-03
Sync Densities	 4.461e-02	 1.379e-01	 2.547e-01	 9.033e-02
      Envelope	 1.569e-01	 1.751e-01	 1.909e-01	 1.529e-02
Sync_Susceptibility	 4.563e-02	 1.510e-01	 2.958e-01	 1.047e-01


--- Timestep = 7 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 2.692e-01	 6.473e-01	 9.307e-01	 2.888e-01
       Maxwell	 9.314e-03	 1.058e-02	 1.272e-02	 1.394e-03
    Maxwell_BC	 2.862e-03	 3.108e-03	 3.491e-03	 2.417e-04
   Diagnostics	 4.393e-01	 4.404e-01	 4.426e-01	 1.282e-03
Sync Particles	 3.622e-02	 5.013e-02	 6.642e-02	 1.145e-02
   Sync Fields	 3.152e-02	 4.606e-02	 7.403e-02	 1.726e-02
Sync Densities	 5.939e-02	 1.838e-01	 3.413e-01	 1.208e-01
      Envelope	 2.179e-01	 2.383e-01	 2.619e-01	 1.967e-02
Sync_Susceptibility	 6.200e-02	 2.023e-01	 3.942e-01	 1.395e-01


--- Timestep = 9 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 3.388e-01	 8.107e-01	 1.168e+00	 3.601e-01
       Maxwell	 1.135e-02	 1.378e-02	 1.697e-02	 2.074e-03
    Maxwell_BC	 3.656e-03	 3.843e-03	 4.148e-03	 2.031e-04
   Diagnostics	 5.549e-01	 5.562e-01	 5.578e-01	 1.268e-03
Sync Particles	 4.552e-02	 6.615e-02	 8.173e-02	 1.422e-02
   Sync Fields	 4.130e-02	 6.387e-02	 1.032e-01	 2.363e-02
Sync Densities	 7.904e-02	 2.322e-01	 4.296e-01	 1.504e-01
      Envelope	 3.672e-01	 3.914e-01	 4.191e-01	 2.421e-02
Sync_Susceptibility	 8.425e-02	 2.529e-01	 4.852e-01	 1.717e-01


--- Timestep = 11 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 4.111e-01	 9.790e-01	 1.404e+00	 4.342e-01
       Maxwell	 1.392e-02	 1.647e-02	 2.025e-02	 2.396e-03
    Maxwell_BC	 4.333e-03	 4.750e-03	 5.313e-03	 3.749e-04
   Diagnostics	 6.737e-01	 6.757e-01	 6.776e-01	 1.447e-03
Sync Particles	 6.529e-02	 8.562e-02	 1.053e-01	 1.541e-02
   Sync Fields	 4.979e-02	 7.407e-02	 1.111e-01	 2.309e-02
Sync Densities	 1.023e-01	 2.825e-01	 5.247e-01	 1.828e-01
      Envelope	 4.222e-01	 4.531e-01	 4.889e-01	 3.051e-02
Sync_Susceptibility	 1.048e-01	 3.080e-01	 5.860e-01	 2.063e-01


--- Timestep = 13 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
